,SUID,__mclCluster,name,PRWP,score,selected,shared name
0,3221,142.0,GTF2H4,0.0,,False,GTF2H4
1,3220,142.0,GTF2H2,0.0,,False,GTF2H2
2,3218,143.0,COL17A1,0.0,,False,COL17A1
3,3217,143.0,ITGA6,0.0,,False,ITGA6
4,3215,,TPM3,,,False,TPM3
5,3211,14.0,UBE2V1,0.0,,False,UBE2V1
6,3208,144.0,NEURL4,0.0,,False,NEURL4
7,3207,144.0,CCP110,0.0,,False,CCP110
8,3205,62.0,RAPGEF6,0.0,,False,RAPGEF6
9,3203,145.0,EIF4A3,0.0,,False,EIF4A3
10,3202,145.0,SRSF1,0.0,,False,SRSF1
11,3200,63.0,MAP2K3,0.0,,False,MAP2K3
12,3198,146.0,PTBP1,0.0,,False,PTBP1
13,3196,23.0,AGO3,0.0,,False,AGO3
14,3192,64.0,KLHL3,0.0,,False,KLHL3
15,3190,147.0,MAD2L1BP,2.44012052361e+12,,False,MAD2L1BP
16,3187,148.0,ANAPC11,2.32407953773e+12,,False,ANAPC11
17,3186,148.0,UBE2C,2.32407953773e+12,0.12,False,UBE2C
18,3184,23.0,AGO1,0.0,,False,AGO1
19,3182,149.0,NFATC1,0.0,,False,NFATC1
20,3181,149.0,FOXP3,0.0,,False,FOXP3
21,3178,150.0,GGA3,0.0,,False,GGA3
22,3176,65.0,RNF31,2.32407953773e+12,0.12,False,RNF31
23,3172,151.0,HNRNPH3,0.0,,False,HNRNPH3
24,3171,151.0,HNRNPA1,0.0,,False,HNRNPA1
25,3169,66.0,NAF1,0.0,,False,NAF1
26,3167,152.0,ZNF207,0.0,,False,ZNF207
27,3166,152.0,BUB3,0.0,,False,BUB3
28,3163,34.0,SDC4,2.32407953773e+12,,False,SDC4
29,3161,153.0,SGTA,0.0,,False,SGTA
30,3159,154.0,ASGR2,0.0,,False,ASGR2
31,3158,154.0,ASGR1,0.0,,False,ASGR1
32,3156,155.0,RBCK1,0.0,,False,RBCK1
33,3155,155.0,SHARPIN,0.0,,False,SHARPIN
34,3152,35.0,RRP1B,0.0,,False,RRP1B
35,3150,67.0,NFE2L1,0.0,,False,NFE2L1
36,3146,156.0,SPC25,0.0,,False,SPC25
37,3145,156.0,SPC24,0.0,,False,SPC24
38,3141,4.0,FAF1,0.0,,False,FAF1
39,3139,68.0,UBXN7,2.36992262595e+12,,False,UBXN7
40,3136,36.0,SLC4A1,2.75670085621e+12,0.142337685684,False,SLC4A1
41,3133,35.0,PPP1R9A,0.0,,False,PPP1R9A
42,3130,69.0,PUF60,0.0,,False,PUF60
43,3128,37.0,GTF3C1,0.0,,False,GTF3C1
44,3126,63.0,DNM1L,0.0,,False,DNM1L
45,3125,63.0,LRRK2,0.0,,False,LRRK2
46,3123,157.0,ANK2,0.0,,False,ANK2
47,3122,157.0,SLC8A1,0.0,,False,SLC8A1
48,3118,158.0,OAZ1,0.0,,False,OAZ1
49,3117,158.0,ODC1,0.0,,False,ODC1
50,3113,5.0,ACTB,0.0,,False,ACTB
51,3111,159.0,CBX1,0.0,,False,CBX1
52,3109,160.0,PCGF6,0.0,,False,PCGF6
53,3106,161.0,C4BPA,0.0,,False,C4BPA
54,3104,162.0,EIF2AK3,0.0,,False,EIF2AK3
55,3103,162.0,EIF2S1,0.0,,False,EIF2S1
56,3096,,PTPN2,,,False,PTPN2
57,3094,163.0,NEDD4L,0.0,,False,NEDD4L
58,3091,164.0,LDHB,2.3293366419e+12,0.120271441872,False,LDHB
59,3090,164.0,LDHA,2.3293366419e+12,,False,LDHA
60,3088,10.0,EPHA2,0.0,,False,EPHA2
61,3085,165.0,CNOT1,0.0,,False,CNOT1
62,3084,165.0,TNRC6C,0.0,,False,TNRC6C
63,3082,166.0,NSMCE3,0.0,,False,NSMCE3
64,3081,166.0,NSMCE1,0.0,,False,NSMCE1
65,3078,167.0,TOR1AIP1,0.0,,False,TOR1AIP1
66,3077,167.0,TOR1A,0.0,,False,TOR1A
67,3074,168.0,PEX19,0.0,,False,PEX19
68,3073,168.0,PXMP2,0.0,,False,PXMP2
69,3071,35.0,SH3RF2,0.0,,False,SH3RF2
70,3070,35.0,PPP1CA,0.0,,False,PPP1CA
71,3068,169.0,MMS22L,0.0,,False,MMS22L
72,3066,170.0,ISG15,0.0,,False,ISG15
73,3064,15.0,PARK7,0.0,,False,PARK7
74,3062,14.0,UBA52,0.0,,False,UBA52
75,3058,,ARRDC3,,,False,ARRDC3
76,3056,70.0,FAM110A,0.0,,False,FAM110A
77,3054,71.0,ASXL1,0.0,,False,ASXL1
78,3051,16.0,PTTG1,2.32407953773e+12,0.12,False,PTTG1
79,3049,171.0,SRPK2,0.0,,False,SRPK2
80,3048,171.0,SNRNP70,0.0,,False,SNRNP70
81,3045,11.0,RPL26,0.0,,False,RPL26
82,3040,172.0,APITD1,0.0,,False,APITD1
83,3039,172.0,STRA13,0.0,,False,STRA13
84,3037,147.0,BUB1B,2.44012052361e+12,0.125991584229,False,BUB1B
85,3035,173.0,UBE4B,0.0,,False,UBE4B
86,3033,72.0,DCTN4,0.0,,False,DCTN4
87,3029,174.0,SAP18,0.0,,False,SAP18
88,3023,175.0,RAD51,4.18008406952e+12,0.215831721849,False,RAD51
89,3021,38.0,CIITA,0.0,,False,CIITA
90,3019,176.0,JDP2,0.0,,False,JDP2
91,3018,176.0,ATF2,0.0,,False,ATF2
92,3015,39.0,EPOR,2.33985085024e+12,,False,EPOR
93,3013,36.0,CD79B,2.75670085621e+12,,False,CD79B
94,3009,5.0,RECQL5,0.0,,False,RECQL5
95,3006,177.0,ATXN7,0.0,,False,ATXN7
96,3003,10.0,RAPGEF1,0.0,,False,RAPGEF1
97,3001,73.0,UPF1,0.0,,False,UPF1
98,2999,37.0,GTF3C5,0.0,,False,GTF3C5
99,2997,178.0,SREBF1,0.0,,False,SREBF1
100,2994,179.0,CAPN1,0.0,,False,CAPN1
101,2993,179.0,KNG1,0.0,,False,KNG1
102,2991,180.0,LRP6,0.0,,False,LRP6
103,2990,180.0,FZD8,0.0,,False,FZD8
104,2988,17.0,RANBP1,0.0,,False,RANBP1
105,2984,181.0,STK26,0.0,,False,STK26
106,2983,181.0,PDCD10,0.0,,False,PDCD10
107,2981,18.0,NFYB,0.0,,False,NFYB
108,2979,19.0,SLMAP,0.0,,False,SLMAP
109,2974,6.0,TP73,2.43486341944e+12,,False,TP73
110,2972,182.0,TPRKB,0.0,,False,TPRKB
111,2971,182.0,OSGEP,0.0,,False,OSGEP
112,2968,183.0,MCM2,7.02500200196e+12,0.122724350242,False,MCM2
113,2966,184.0,PPP2R5D,0.0,,False,PPP2R5D
114,2965,184.0,SGO1,0.0,,False,SGO1
115,2962,185.0,RXFP2,0.0,,False,RXFP2
116,2958,74.0,ITGA2,2.32407953773e+12,,False,ITGA2
117,2951,19.0,STRN4,0.0,,False,STRN4
118,2949,40.0,SNRPD1,0.0,,False,SNRPD1
119,2947,24.0,PPM1D,0.0,,False,PPM1D
120,2945,14.0,NUMBL,0.0,,False,NUMBL
121,2941,186.0,SMC5,0.0,,False,SMC5
122,2940,186.0,SMC6,0.0,,False,SMC6
123,2936,75.0,LEO1,0.0,,False,LEO1
124,2931,25.0,KARS,0.0,,False,KARS
125,2928,18.0,GATA2,0.0,,False,GATA2
126,2921,187.0,IL12RB1,0.0,,False,IL12RB1
127,2920,187.0,IL12B,0.0,,False,IL12B
128,2915,18.0,SP1,0.0,,False,SP1
129,2909,76.0,KMT5A,2.32407953773e+12,,False,KMT5A
130,2906,23.0,AGO2,0.0,,False,AGO2
131,2903,26.0,GGA2,2.3293366419e+12,,False,GGA2
132,2901,188.0,SELE,0.0,,False,SELE
133,2900,188.0,SELPLG,0.0,,False,SELPLG
134,2897,189.0,COPS7B,2.32407953773e+12,,False,COPS7B
135,2896,189.0,COPS5,2.32407953773e+12,0.12,False,COPS5
136,2893,190.0,SOD1,0.0,,False,SOD1
137,2892,190.0,RNF19A,0.0,,False,RNF19A
138,2890,191.0,EEF1G,0.0,,False,EEF1G
139,2888,77.0,PLSCR1,0.0,,False,PLSCR1
140,2886,41.0,IRAK1,2.64259058176e+12,,False,IRAK1
141,2884,192.0,HIP1,0.0,,False,HIP1
142,2882,27.0,TIMP1,7.15136484913e+12,,False,TIMP1
143,2878,193.0,SOS1,0.0,,False,SOS1
144,2877,193.0,HCK,0.0,,False,HCK
145,2873,42.0,ZPR1,0.0,,False,ZPR1
146,2869,34.0,ADCY5,2.32407953773e+12,,False,ADCY5
147,2867,12.0,GNAI2,0.0,,False,GNAI2
148,2865,194.0,RMI1,0.0,,False,RMI1
149,2864,194.0,RMI2,0.0,,False,RMI2
150,2862,28.0,SF3A3,0.0,,False,SF3A3
151,2859,195.0,KCNJ6,0.0,,False,KCNJ6
152,2858,195.0,KCNJ3,0.0,,False,KCNJ3
153,2856,196.0,CPSF6,0.0,,False,CPSF6
154,2854,197.0,SIX4,0.0,,False,SIX4
155,2853,197.0,EYA3,0.0,,False,EYA3
156,2851,16.0,ANAPC10,2.32407953773e+12,,False,ANAPC10
157,2847,43.0,RPL24,0.0,,False,RPL24
158,2845,37.0,GTF3C4,0.0,,False,GTF3C4
159,2844,37.0,GTF3C2,0.0,,False,GTF3C2
160,2841,198.0,BUB1,0.0,,False,BUB1
161,2840,198.0,KNL1,0.0,,False,KNL1
162,2838,199.0,PPP2R1B,0.0,,False,PPP2R1B
163,2837,199.0,PPP2R5A,0.0,,False,PPP2R5A
164,2834,,PHC2,,,False,PHC2
165,2831,200.0,EXOSC5,0.0,,False,EXOSC5
166,2830,200.0,EXOSC4,0.0,,False,EXOSC4
167,2828,201.0,DOT1L,0.0,,False,DOT1L
168,2827,201.0,MLLT1,0.0,,False,MLLT1
169,2822,202.0,RASSF4,0.0,,False,RASSF4
170,2819,78.0,AP2A2,0.0,,False,AP2A2
171,2817,,TOP3A,,,False,TOP3A
172,2813,79.0,RGS16,0.0,,False,RGS16
173,2811,27.0,CD44,7.15136484913e+12,0.12,False,CD44
174,2808,203.0,NID1,0.0,,False,NID1
175,2807,203.0,HSPG2,0.0,,False,HSPG2
176,2805,44.0,THOC3,0.0,,False,THOC3
177,2801,161.0,C4B,0.0,,False,C4B
178,2799,204.0,C4A,0.0,,False,C4A
179,2798,204.0,CR1,0.0,,False,CR1
180,2792,205.0,PIK3R1,0.0,,False,PIK3R1
181,2791,205.0,TRAT1,0.0,,False,TRAT1
182,2789,8.0,UBE2M,0.0,,False,UBE2M
183,2787,80.0,GALNT1,2.32407953773e+12,,False,GALNT1
184,2785,206.0,NF2,0.0,,False,NF2
185,2784,206.0,AMOT,0.0,,False,AMOT
186,2780,45.0,PPP6R2,0.0,,False,PPP6R2
187,2773,207.0,CAPG,0.0,,False,CAPG
188,2770,81.0,PPP3CA,0.0,,False,PPP3CA
189,2768,,DAXX,,,False,DAXX
190,2765,1.0,DCAF8,2.32407953773e+12,,False,DCAF8
191,2760,46.0,PPARGC1A,2.42415686404e+12,,False,PPARGC1A
192,2758,208.0,MAP1B,0.0,,False,MAP1B
193,2757,208.0,MAP1A,0.0,,False,MAP1A
194,2755,209.0,BDKRB2,0.0,,False,BDKRB2
195,2754,209.0,NOS3,0.0,,False,NOS3
196,2752,82.0,JAM2,0.0,,False,JAM2
197,2750,83.0,EME1,0.0,,False,EME1
198,2747,20.0,CXCL9,2.32407953773e+12,,False,CXCL9
199,2744,6.0,GTF2I,2.43486341944e+12,,False,GTF2I
200,2740,210.0,TRIM33,2.32407953773e+12,,False,TRIM33
201,2739,210.0,SMAD2,2.32407953773e+12,0.12,False,SMAD2
202,2736,169.0,TONSL,0.0,,False,TONSL
203,2734,211.0,MADCAM1,0.0,,False,MADCAM1
204,2732,,TERF2,,,False,TERF2
205,2730,84.0,RBSN,0.0,,False,RBSN
206,2728,212.0,SPG20,0.0,,False,SPG20
207,2727,212.0,ITCH,0.0,,False,ITCH
208,2725,192.0,CLTB,0.0,,False,CLTB
209,2722,213.0,STAG2,0.0,,False,STAG2
210,2720,214.0,GRAP2,0.0,,False,GRAP2
211,2719,214.0,GAB3,0.0,,False,GAB3
212,2716,38.0,SAP30,0.0,,False,SAP30
213,2714,215.0,VPS29,0.0,,False,VPS29
214,2712,216.0,EIF4B,0.0,,False,EIF4B
215,2708,217.0,PKNOX1,0.0,,False,PKNOX1
216,2707,217.0,HOXB6,0.0,,False,HOXB6
217,2705,85.0,SH2D2A,0.0,,False,SH2D2A
218,2703,218.0,PSMG2,0.0,,False,PSMG2
219,2702,218.0,PSMG1,0.0,,False,PSMG1
220,2700,219.0,MYRIP,0.0,,False,MYRIP
221,2699,219.0,MYO7A,0.0,,False,MYO7A
222,2697,86.0,ARRB2,0.0,,False,ARRB2
223,2694,5.0,GTF2F2,0.0,,False,GTF2F2
224,2691,2.0,PTK2,0.0,,False,PTK2
225,2689,220.0,CARM1,0.0,,False,CARM1
226,2685,221.0,PFDN1,0.0,,False,PFDN1
227,2682,47.0,ARID4A,0.0,,False,ARID4A
228,2680,48.0,TCEA1,0.0,,False,TCEA1
229,2678,87.0,CUBN,0.0,,False,CUBN
230,2676,77.0,FCGR2A,0.0,,False,FCGR2A
231,2673,49.0,BRIP1,0.0,,False,BRIP1
232,2671,222.0,ORAI1,0.0,,False,ORAI1
233,2670,222.0,STIM1,0.0,,False,STIM1
234,2667,223.0,MARK2,0.0,,False,MARK2
235,2666,223.0,YWHAH,0.0,,False,YWHAH
236,2664,224.0,WRN,0.0,,False,WRN
237,2662,225.0,BBS1,0.0,,False,BBS1
238,2660,226.0,RPS6KB1,0.0,,False,RPS6KB1
239,2659,226.0,RPTOR,0.0,,False,RPTOR
240,2656,227.0,HEXIM2,0.0,,False,HEXIM2
241,2654,228.0,PRKAB2,0.0,,False,PRKAB2
242,2653,228.0,PRKAA2,0.0,,False,PRKAA2
243,2651,2.0,ITK,0.0,,False,ITK
244,2649,229.0,TTI1,0.0,,False,TTI1
245,2647,88.0,ST8SIA4,0.0,,False,ST8SIA4
246,2643,42.0,LGALS3,0.0,,False,LGALS3
247,2641,80.0,GALNT2,2.32407953773e+12,,False,GALNT2
248,2640,80.0,MUC1,2.32407953773e+12,0.12,False,MUC1
249,2638,230.0,SHFM1,0.0,,False,SHFM1
250,2636,231.0,XCL1,0.0,,False,XCL1
251,2635,231.0,XCR1,0.0,,False,XCR1
252,2632,6.0,RELA,2.43486341944e+12,,False,RELA
253,2630,232.0,PER1,0.0,,False,PER1
254,2628,50.0,CD300LF,0.0,,False,CD300LF
255,2626,233.0,RAD23B,0.0,,False,RAD23B
256,2625,233.0,CETN2,0.0,,False,CETN2
257,2623,234.0,CHD1L,0.0,,False,CHD1L
258,2621,,MYOD1,,,False,MYOD1
259,2616,51.0,RASSF2,0.0,,False,RASSF2
260,2614,89.0,GATAD2B,0.0,,False,GATAD2B
261,2610,235.0,CBS,0.0,,False,CBS
262,2609,235.0,HTT,0.0,,False,HTT
263,2605,236.0,KCNJ12,0.0,,False,KCNJ12
264,2603,237.0,DLG2,0.0,,False,DLG2
265,2602,237.0,CRIPT,0.0,,False,CRIPT
266,2598,,CBX8,,,False,CBX8
267,2596,238.0,MMS19,0.0,,False,MMS19
268,2595,238.0,CIAO1,0.0,,False,CIAO1
269,2593,90.0,PFDN6,0.0,,False,PFDN6
270,2591,239.0,BAG3,0.0,,False,BAG3
271,2588,240.0,SNX2,0.0,,False,SNX2
272,2586,62.0,PTPN13,0.0,,False,PTPN13
273,2585,62.0,TRIP6,0.0,,False,TRIP6
274,2583,241.0,EFTUD2,0.0,,False,EFTUD2
275,2580,88.0,L1CAM,0.0,,False,L1CAM
276,2579,88.0,NCAM1,0.0,,False,NCAM1
277,2577,19.0,MOB4,0.0,,False,MOB4
278,2575,52.0,MOB1A,0.0,,False,MOB1A
279,2572,242.0,VCAN,2.32407953773e+12,0.12,False,VCAN
280,2571,242.0,PLA2G2A,2.32407953773e+12,,False,PLA2G2A
281,2569,243.0,ELN,0.0,,False,ELN
282,2568,243.0,MFAP2,0.0,,False,MFAP2
283,2566,91.0,RFC2,0.0,,False,RFC2
284,2564,24.0,UBB,0.0,,False,UBB
285,2562,92.0,PAXIP1,0.0,,False,PAXIP1
286,2560,244.0,TSG101,0.0,,False,TSG101
287,2559,244.0,MGRN1,0.0,,False,MGRN1
288,2557,245.0,AUP1,0.0,,False,AUP1
289,2556,245.0,UBE2G2,0.0,,False,UBE2G2
290,2553,246.0,CYB5A,2.32407953773e+12,0.12,False,CYB5A
291,2552,246.0,CYB5R3,2.32407953773e+12,,False,CYB5R3
292,2550,,MAPK8,,,False,MAPK8
293,2546,13.0,RCHY1,0.0,,False,RCHY1
294,2544,93.0,SREBF2,2.32407953773e+12,,False,SREBF2
295,2542,247.0,MAP3K5,2.33985085024e+12,0.120814325616,False,MAP3K5
296,2541,247.0,MAP2K4,2.33985085024e+12,,False,MAP2K4
297,2539,53.0,NFRKB,0.0,,False,NFRKB
298,2537,10.0,UBASH3B,0.0,,False,UBASH3B
299,2533,248.0,FGB,0.0,,False,FGB
300,2531,11.0,RPS7,0.0,,False,RPS7
301,2529,7.0,CDC6,0.0,,False,CDC6
302,2526,249.0,HNF1A,0.0,,False,HNF1A
303,2524,54.0,MDM4,0.0,,False,MDM4
304,2521,250.0,F12,1.10164395955e+13,0.56881562356,False,F12
305,2520,250.0,CD93,1.10164395955e+13,,False,CD93
306,2517,11.0,RPL23,0.0,,False,RPL23
307,2514,87.0,ALB,0.0,,False,ALB
308,2513,87.0,LRP2,0.0,,False,LRP2
309,2511,251.0,RAB9A,0.0,,False,RAB9A
310,2510,251.0,BCL3,0.0,,False,BCL3
311,2508,64.0,KLHL12,0.0,,False,KLHL12
312,2506,94.0,EED,0.0,,False,EED
313,2504,252.0,INPP5D,0.0,,False,INPP5D
314,2503,252.0,DOK3,0.0,,False,DOK3
315,2501,253.0,PIGR,0.0,,False,PIGR
316,2500,253.0,CD79A,0.0,,False,CD79A
317,2497,10.0,SPRY1,0.0,,False,SPRY1
318,2494,5.0,GTF2B,0.0,,False,GTF2B
319,2492,29.0,RPL12,0.0,,False,RPL12
320,2489,254.0,FLT3,0.0,,False,FLT3
321,2488,254.0,FLT3LG,0.0,,False,FLT3LG
322,2486,95.0,POLE3,0.0,,False,POLE3
323,2480,,HNRNPK,,,False,HNRNPK
324,2478,,UBE2D4,,,False,UBE2D4
325,2476,255.0,PIAS1,0.0,,False,PIAS1
326,2474,12.0,GNGT2,0.0,,False,GNGT2
327,2470,256.0,GEMIN2,0.0,,False,GEMIN2
328,2468,28.0,SNRPA1,0.0,,False,SNRPA1
329,2463,,PPARG,,,False,PPARG
330,2459,257.0,GCLM,0.0,,False,GCLM
331,2458,257.0,GCLC,0.0,,False,GCLC
332,2456,55.0,POLR1D,0.0,,False,POLR1D
333,2453,258.0,NOP56,0.0,,False,NOP56
334,2452,258.0,NOP58,0.0,,False,NOP58
335,2447,259.0,GLMN,0.0,,False,GLMN
336,2446,259.0,FKBP4,0.0,,False,FKBP4
337,2440,260.0,GHSR,0.0,,False,GHSR
338,2439,260.0,GHRL,0.0,,False,GHRL
339,2436,261.0,PPIB,0.0,,False,PPIB
340,2435,261.0,HSPA5,0.0,,False,HSPA5
341,2432,262.0,SNTB1,0.0,,False,SNTB1
342,2431,262.0,DTNA,0.0,,False,DTNA
343,2428,263.0,HERPUD1,0.0,,False,HERPUD1
344,2424,5.0,POLR2I,0.0,,False,POLR2I
345,2421,96.0,KMT2A,0.0,,False,KMT2A
346,2415,97.0,FLT4,2.32407953773e+12,,False,FLT4
347,2413,264.0,ZAP70,0.0,,False,ZAP70
348,2411,,SERPINA3,,0.12,False,SERPINA3
349,2410,,CELA1,,,False,CELA1
350,2408,4.0,UBXN1,0.0,,False,UBXN1
351,2405,265.0,RAPSN,0.0,,False,RAPSN
352,2404,265.0,MUSK,0.0,,False,MUSK
353,2402,266.0,CKS2,2.32407953773e+12,,False,CKS2
354,2401,266.0,CCNB1,2.32407953773e+12,0.12,False,CCNB1
355,2398,177.0,KAT2A,0.0,,False,KAT2A
356,2396,26.0,CLTA,2.3293366419e+12,,False,CLTA
357,2394,267.0,CNTN1,0.0,,False,CNTN1
358,2393,267.0,TNR,0.0,,False,TNR
359,2391,268.0,HYPK,0.0,,False,HYPK
360,2390,268.0,NAA15,0.0,,False,NAA15
361,2387,98.0,ECI2,0.0,,False,ECI2
362,2382,269.0,ELP3,0.0,,False,ELP3
363,2381,269.0,ELP2,0.0,,False,ELP2
364,2379,270.0,SLC2A1,0.0,,False,SLC2A1
365,2376,271.0,RYR1,0.0,,False,RYR1
366,2375,271.0,CACNA1S,0.0,,False,CACNA1S
367,2373,99.0,F5,3.71321278548e+12,0.191725595886,False,F5
368,2370,272.0,AKT2,0.0,,False,AKT2
369,2365,273.0,MTA2,0.0,,False,MTA2
370,2364,273.0,MBD2,0.0,,False,MBD2
371,2362,100.0,SMURF2,0.0,,False,SMURF2
372,2357,274.0,STX12,0.0,,False,STX12
373,2356,274.0,EPB42,0.0,,False,EPB42
374,2354,91.0,CHTF18,0.0,,False,CHTF18
375,2353,91.0,RFC3,0.0,,False,RFC3
376,2351,101.0,STX1A,0.0,,False,STX1A
377,2348,73.0,PABPC1,0.0,,False,PABPC1
378,2347,73.0,PAN2,0.0,,False,PAN2
379,2344,102.0,HLA-G,0.0,,False,HLA-G
380,2342,103.0,RHAG,0.0,,False,RHAG
381,2340,11.0,CSNK1D,0.0,,False,CSNK1D
382,2335,7.0,NPAT,0.0,,False,NPAT
383,2333,275.0,NME1,0.0,,False,NME1
384,2332,275.0,NME2,0.0,,False,NME2
385,2328,12.0,GNG11,0.0,,False,GNG11
